dateCBASS,CBASSrun,uniquePosition,site,fieldTag,Temp,rack.col,rack.position,F,Fm,Y
2023-06-20T00:00:00Z,1,Run1.O2,V2526,B30,36,Orange,2,0.1183,0.1276,0.073
2023-06-20T00:00:00Z,1,Run1.O3,V2526,B27,36,Orange,3,0.1383,0.1491,0.072
2023-06-20T00:00:00Z,1,Run1.O4,V2526,B28,36,Orange,4,0.1393,0.1628,0.144
2023-06-20T00:00:00Z,1,Run1.O5,C1450,B11,36,Orange,5,0.1691,0.2116,0.201
2023-06-20T00:00:00Z,1,Run1.O6,C1450,B6,36,Orange,6,0.1246,0.1344,0.073
2023-06-20T00:00:00Z,1,Run1.O7,C1450,B12,36,Orange,7,0.1672,0.1779,0.06
2023-06-20T00:00:00Z,1,Run1.O8,C1443,B22,36,Orange,8,0.1232,0.1432,0.14
2023-06-20T00:00:00Z,1,Run1.B1,M1227,B1,36,Blue,1,0.1222,0.1403,0.129
2023-06-20T00:00:00Z,1,Run1.B2,M1227,B2,36,Blue,2,0.1276,0.1515,0.158
2023-06-20T00:00:00Z,1,Run1.B3,C1443,B24,36,Blue,3,0.1197,0.1325,0.096
2023-06-20T00:00:00Z,1,Run1.B4,M1227,B5,36,Blue,4,0.1271,0.1491,0.148
2023-06-20T00:00:00Z,1,Run1.B5,C1441,B3,36,Blue,5,0.1202,0.1334,0.099
2023-06-20T00:00:00Z,1,Run1.B6,C1441,B7,36,Blue,6,0.1144,0.129,0.114
2023-06-20T00:00:00Z,1,Run1.P1,C1450,B10,36,Pink,1,0.1808,0.2014,0.102
2023-06-20T00:00:00Z,1,Run1.P2,C1443,B21,36,Pink,2,0.1725,0.2028,0.149
2023-06-20T00:00:00Z,1,Run1.P3,C1443,B25,36,Pink,3,0.1403,0.152,0.077
2023-06-20T00:00:00Z,1,Run1.P4,C1443,B26,36,Pink,4,0.1144,0.1261,0.093
2023-06-20T00:00:00Z,1,Run1.P5,C1443,B23,36,Pink,5,0.1833,0.2111,0.132
2023-06-20T00:00:00Z,1,Run1.P6,C1441,B8,36,Pink,6,0.2302,0.2449,0.06
2023-06-20T00:00:00Z,1,Run1.P7,M1227,B4,36,Pink,7,0.1921,0.2111,0.09
2023-06-20T00:00:00Z,1,Run1.P8,C1441,B9,36,Pink,8,0.0821,0.1031,0.204
